Prime_p,6N_Wing,Mod_24,Root_Number,True_Rank,Rank_Lo,Rank_Hi,Computation_Status
4093,1,13,1,,0,2,bounded
4099,1,19,1,2,2,2,certified
4111,1,7,-1,1,1,1,certified
4127,-1,23,-1,1,1,1,certified
4129,1,1,1,2,2,2,certified
4133,-1,5,-1,1,1,1,certified
4139,-1,11,-1,1,1,1,certified
4153,1,1,-1,1,1,1,certified
4157,-1,5,1,0,0,0,certified
4159,1,7,-1,1,1,1,certified
4177,1,1,1,0,0,0,certified
4201,1,1,1,2,2,2,certified
4211,-1,11,-1,1,1,1,certified
4217,-1,17,1,,0,2,bounded
4219,1,19,-1,1,1,1,certified
4229,-1,5,1,2,2,2,certified
4231,1,7,-1,1,1,1,certified
4241,-1,17,-1,1,1,1,certified
4243,1,19,1,2,2,2,certified
4253,-1,5,1,2,2,2,certified
4259,-1,11,1,0,0,0,certified
4261,1,13,-1,,1,3,bounded
4271,-1,23,-1,1,1,1,certified
4273,1,1,1,0,0,0,certified
4283,-1,11,-1,1,1,1,certified
4289,-1,17,1,,0,2,bounded
4297,1,1,-1,1,1,1,certified
4327,1,7,-1,1,1,1,certified
4337,-1,17,1,2,2,2,certified
4339,1,19,-1,1,1,1,certified
4349,-1,5,-1,1,1,1,certified
4357,1,13,1,0,0,0,certified
4363,1,19,-1,1,1,1,certified
4373,-1,5,1,0,0,0,certified
4391,-1,23,-1,1,1,1,certified
4397,-1,5,1,0,0,0,certified
4409,-1,17,1,0,0,0,certified
4421,-1,5,-1,1,1,1,certified
4423,1,7,1,2,2,2,certified
4441,1,1,-1,1,1,1,certified
4447,1,7,-1,1,1,1,certified
4451,-1,11,-1,1,1,1,certified
4457,-1,17,-1,3,3,3,certified
4463,-1,23,-1,1,1,1,certified
4481,-1,17,1,,0,2,bounded
4483,1,19,-1,1,1,1,certified
4493,-1,5,-1,1,1,1,certified
4507,1,19,-1,1,1,1,certified
4513,1,1,-1,3,3,3,certified
4517,-1,5,1,2,2,2,certified
4519,1,7,-1,1,1,1,certified
4523,-1,11,-1,1,1,1,certified
4547,-1,11,1,2,2,2,certified
4549,1,13,-1,1,1,1,certified
4561,1,1,1,2,2,2,certified
4567,1,7,1,,0,2,bounded
4583,-1,23,1,2,2,2,certified
4591,1,7,-1,1,1,1,certified
4597,1,13,1,,0,2,bounded
4603,1,19,1,2,2,2,certified
4621,1,13,-1,1,1,1,certified
4637,-1,5,-1,1,1,1,certified
4639,1,7,1,0,0,0,certified
4643,-1,11,-1,1,1,1,certified
4649,-1,17,1,0,0,0,certified
4651,1,19,-1,1,1,1,certified
4657,1,1,-1,1,1,1,certified
4663,1,7,-1,1,1,1,certified
4673,-1,17,-1,1,1,1,certified
4679,-1,23,-1,1,1,1,certified
4691,-1,11,1,0,0,0,certified
4703,-1,23,-1,1,1,1,certified
4721,-1,17,1,,0,2,bounded
4723,1,19,-1,1,1,1,certified
4729,1,1,-1,1,1,1,certified
4733,-1,5,1,0,0,0,certified
4751,-1,23,-1,1,1,1,certified
4759,1,7,-1,1,1,1,certified
4783,1,7,1,0,0,0,certified
4787,-1,11,-1,1,1,1,certified
4789,1,13,1,2,2,2,certified
4793,-1,17,1,2,2,2,certified
4799,-1,23,1,4,4,4,certified
4801,1,1,-1,1,1,1,certified
4813,1,13,1,2,2,2,certified
4817,-1,17,-1,,1,3,bounded
4831,1,7,-1,1,1,1,certified
4861,1,13,1,0,0,0,certified
4871,-1,23,1,2,2,2,certified
4877,-1,5,1,2,2,2,certified
4889,-1,17,-1,1,1,1,certified
4903,1,7,-1,1,1,1,certified
4909,1,13,-1,1,1,1,certified
4919,-1,23,-1,1,1,1,certified
4931,-1,11,-1,1,1,1,certified
4933,1,13,1,,0,2,bounded
4937,-1,17,1,,0,2,bounded
4943,-1,23,1,0,0,0,certified
4951,1,7,-1,1,1,1,certified
4957,1,13,1,0,0,0,certified
4967,-1,23,-1,1,1,1,certified
4969,1,1,1,0,0,0,certified
4973,-1,5,1,0,0,0,certified
4987,1,19,-1,1,1,1,certified
4993,1,1,1,,0,2,bounded
4999,1,7,1,,0,2,bounded
5003,-1,11,-1,1,1,1,certified
5009,-1,17,1,2,2,2,certified
5011,1,19,-1,1,1,1,certified
5021,-1,5,1,2,2,2,certified
5023,1,7,-1,1,1,1,certified
5039,-1,23,-1,1,1,1,certified
5051,-1,11,1,2,2,2,certified
5059,1,19,-1,1,1,1,certified
5077,1,13,1,0,0,0,certified
5081,-1,17,1,0,0,0,certified
5087,-1,23,1,0,0,0,certified
5099,-1,11,-1,1,1,1,certified
5101,1,13,1,0,0,0,certified
5107,1,19,1,2,2,2,certified
5113,1,1,1,0,0,0,certified
5119,1,7,-1,1,1,1,certified
5147,-1,11,-1,1,1,1,certified
5153,-1,17,1,0,0,0,certified
5167,1,7,-1,1,1,1,certified
5171,-1,11,-1,1,1,1,certified
